code|name|credit
010351|대학생활과진로설계|1.0
009912|C프로그래밍및실습|4.0
009952|자료구조및실습|4.0
010142|데이터분석개론|3.0
006237|웹프로그래밍|3.0
009959|확률통계및프로그래밍|3.0
004310|운영체제|3.0
010000|기계학습|3.0
007219|데이터베이스|3.0
010563|의사결정분석|3.0
009992|문제해결및실습:C++|3.0
005619|멀티미디어프로그래밍|3.0
005636|멀티미디어|3.0
009955|이산수학및프로그래밍|3.0
009957|오픈소스SW개론|3.0
003281|컴퓨터그래픽스|3.0
004114|전기회로|3.0
008622|확률및랜덤변수|3.0
005611|디지털논리회로|3.0
008621|MATLAB프로그래밍|3.0
004474|통신이론|3.0
004600|디지털신호처리|3.0
004699|데이터통신|3.0
007453|전자회로1|3.0
007806|기초반도체|3.0
009649|전자기1|3.0
004268|데이터구조론|3.0
007235|랜덤프로세스|3.0
008076|기초광학및실험|3.0
006558|무선통신공학|3.0
006562|초고주파공학|3.0
007585|통신시스템설계|3.0
008624|무선네트워크|3.0
009654|전자정보통신공학특강A|3.0
009655|광통신공학|3.0
009661|반도체공정실험|3.0
009662|전자회로설계|3.0
009663|멀티미디어설계|3.0
009947|캡스톤디자인A|3.0
010111|졸업연구및진로1|1.0
P00011|ICT인턴십3|9.0
P00012|ICT인턴십4|12.0
P00024|전공인턴십12|12.0
009960|Capstone디자인(산학협력프로젝트)|6.0
002505|인공지능|3.0
005618|네트워크프로그래밍|3.0
006132|영상처리|3.0
006135|정보보호개론|3.0
006478|무선통신|3.0
009665|패턴인식|3.0
009966|소프트웨어특강1|3.0
010637|K-MOOC:파이썬을이용한기계학습개론|3.0
009913|고급C프로그래밍및실습|4.0
004118|디지털시스템|3.0
005246|신호및시스템|3.0
006474|C#프로그래밍|3.0
007313|프로그래밍언어의개념|3.0
008364|세종사회봉사1|1.0
009045|창업과기업가정신1|1.0
009067|문제해결을위한글쓰기와발표|3.0
009068|서양철학:쟁점과토론|3.0
009352|사고와표현1|3.0
009353|사고와표현2|3.0
009354|한국의언어와문화1|3.0
009355|한국의언어와문화2|3.0
009356|한국전통문화의이해|3.0
009357|서양철학의이해|3.0
010352|English Listening Practice 1|2.0
010418|자기주도창의전공Ⅰ|3.0
010419|자기주도창의전공Ⅱ|3.0
010420|자기주도창의전공Ⅲ|3.0
010421|자기주도창의전공Ⅳ|3.0
007849|교직소양을위한독서강좌1|1.0
008334|교육봉사활동1|1.0
008336|교육봉사활동3|2.0
000107|경영수학|3.0
000133|경영학개론|3.0
000285|골프|1.0
000304|공업수학1|3.0
000307|공업수학2|3.0
000929|독어|3.0
002638|일반물리학1|3.0
002647|일반물리학및실험1|3.0
002657|일반생물학|3.0
002703|일반화학|3.0
002719|일반화학및실험1|3.0
003353|통계학개론|3.0
004489|한국의전통과문화|3.0
004543|생활과경제|3.0
004547|식생활과건강|3.0
004558|채플1|0.5
004763|과학사|3.0
004777|채플3|0.5
004921|미생물의세계|3.0
005532|생명질서와자연보호|3.0
005565|스쿼시|1.0
005991|스피치커뮤니케이션|3.0
006096|한일교류사|2.0
006098|기초미적분학|3.0
006214|일본어1|3.0
006279|정보사회의사이버윤리|3.0
006422|성과문화|2.0
006425|스포츠와대중매체|2.0
006709|운동과다이어트|2.0
006711|건강과삶|2.0
006713|미디어와현대사회|3.0
006714|현대과학으로의여행|3.0
006716|경력개발과멘토링|2.0
006844|Intensive English|3.0
006954|Job Hunting Skills|3.0
007082|취업과진로|2.0
007207|기초중국어1|3.0
007210|역사와한국의영토|3.0
007214|글로벌잉글리쉬1|2.0
007221|진로설정과자기계발|2.0
007321|생활일본어|3.0
007338|중국의정치경제와사회|3.0
007343|신화와예술|3.0
007345|미술심리치료|3.0
007369|발레의이해와감상|3.0
007399|영상매체속의영어|3.0
007401|영어발음연습|3.0
007495|동서양음식문화사|3.0
007503|영어읽기연습|1.0
007504|영어듣기연습|1.0
007564|이미지메이킹|2.0
007565|우리차문화의이해|2.0
007779|현대인의정신건강과자기발견|2.0
008300|쟁점으로이해하는북한사회|3.0
008303|English Composition 1|2.0
008304|English Composition 2|2.0
008365|세종사회봉사2|1.0
008377|전산개론-I|3.0
008378|전산개론-O|3.0
008380|전산개론-M|3.0
008381|세종리더십|2.0
008881|인지과학:마음,언어,기계|3.0
008882|동서양의윤리|3.0
008884|국가와정체성|3.0
008885|과학기술과사회|3.0
008887|언어와문명|3.0
008888|그리스로마신화의이해|3.0
008890|천문학의세계|3.0
008892|생명과학의미래|3.0
008894|세계화와글로벌거버넌스|3.0
008895|EU의정치경제와사회|3.0
008898|영어로하는프리젠테이션|3.0
008913|동양고전강독1|1.0
008914|서양고전강독1|1.0
008937|현대과학기술의이해|3.0
008939|지구의이해|3.0
008966|꽃의세계|3.0
009046|글로벌잉글리쉬1(진로탐색)|2.0
009048|글로벌잉글리쉬1(심화)|1.0
009057|서양고전강독3|1.0
009061|웰빙레저스포츠|2.0
009073|English Speaking Strategies(TS) 1|2.0
009251|중급미술심리치료|3.0
009259|K-Pop Music 1|3.0
009265|K-Pop Dance 1|3.0
009345|English Speaking Strategies(O) 1|2.0
009452|창업과기업가정신2|1.0
009453|보컬트레이닝|3.0
009738|서양종교의이해|3.0
009739|복지국가의이해|3.0
009740|동양의철학사상-노장과불교|3.0
009769|국제개발협력과해외봉사|3.0
009778|경영학의이해|3.0
009780|고전특강|1.0
009784|기후변화와창조경영|3.0
009785|공간마케팅|3.0
009790|고급프로그래밍입문-P|3.0
009791|고급프로그래밍입문-C|3.0
009799|소프트웨어기초코딩|3.0
009936|Technical Writing기초|2.0
009937|공간과인간:인문,예술,공학의융합|3.0
009938|동서양고전문학강독|1.0
009939|동서양종교의이해|3.0
009981|English Listening|2.0
009982|English Reading|2.0
010083|취업전략및사회진출|2.0
010110|문화콘텐츠와성서|2.0
010132|유니스토리|3.0
010134|Korean Politics|3.0
010135|재난대응과안전리더십|1.0
010136|K-MOOC:정보보호와보안의기초|3.0
010140|일변수미적분학|3.0
010141|다변수미적분학|3.0
010353|English Listening Practice 2|2.0
010356|대학생을위한실용금융|2.0
010357|수요집현강좌|1.0
010358|행복한가정만들기|3.0
010359|SHP고전강좌:Reading Intellectus 1|3.0
010360|청년에게들려주는통일이야기|1.0
010361|먹고즐기는자연|3.0
010362|푸른바다생물이야기|3.0
010363|곤충의새로운가치|3.0
010402|인간과우주|3.0
010404|유대인의창의성과리더십|3.0
010407|시사로보는경제이야기|3.0
010410|K-MOOC:웨어러블컴퓨터디자인|1.0
010411|K-MOOC:모빌리티디자인방법론|1.0
010412|K-MOOC:콘텐츠산업의비즈니스전략|3.0
010426|두뇌로알아보는우리의삶|3.0
010528|컴퓨팅사고기반기초코딩|3.0
010530|SHP고전강좌:Writing Intellectus 1|3.0
010531|세계시민정신|3.0
010532|아시아공동체의이해|2.0
010539|애지헌강좌1|1.0
010542|K-MOOC:일반인을위한물리코딩|1.0
010543|K-MOOC:코딩과스토리텔링|1.0
010544|K-MOOC:빅데이터와텍스트마이닝|1.0
010651|진로오딧세이|1.0
010652|SHP고전강좌:Building Intellectus 1|3.0
500398|지구촌문화의이해와테마여행|3.0
500698|설득력있는프리젠테이션|3.0
501270|인간행동의심리적이해|3.0
501273|예술기행세계의박물관|3.0
501297|생활속의법률이야기|3.0
501300|인간관계심리학|3.0
501301|커피아카데미|3.0
501302|컴퓨터활용|3.0
501305|영화로영어말하기|3.0
501307|컬러테라피|3.0
501309|가족스트레스와대처|3.0
501316|저는주식투자가처음인데요|3.0
501322|혼자떠나는여행일본어|3.0
501327|음악감상과함께하는대중음악사|3.0
501328|알기쉬운코딩|3.0
600005|UCC(디지털동영상)기획,제작,편집및활용|3.0
600008|문화기술과사회변동|2.0
600010|웰니스와삶의질|3.0
600011|글로벌시대의예술과가치|3.0
600016|21세기기업의인재상|2.0
600021|전략적의사결정과문제해결|3.0
600023|상상과창조|2.0
600029|저작권과스마트폰의이해|2.0
600030|문화행정론|3.0
600031|철학과인간가치|3.0
009065|English Writing 1|2.0
009066|English Writing 2|2.0
010354|English Reading Practice 1|2.0
000486|교육사회|2.0
000525|교육학개론|2.0
009031|한국현대사의이해|3.0
009489|세계사:인간과문명|3.0
010355|English Reading Practice 2|2.0
009030|취업역량개발론|1.0
000520|교육평가|2.0
008283|교직실무|2.0
010653|안보학|2.0
P00036|일반인턴십12|12.0
008276|학교현장실습|2.0
008910|생활지도및상담|2.0
010655|조직리더십|2.0
