학과이름|과목이름|ABEEK 영역|과목 영역|설계학점
전자정보통신공학과|문제해결을위한글쓰기와발표|전문교양|필수|0
전자정보통신공학과|프로그래밍활용-C|MSC|필수|0
전자정보통신공학과|미적분학1|MSC|필수|0
전자정보통신공학과|일반물리학1|MSC|필수|0
전자정보통신공학과|선형대수|MSC|필수|0
전자정보통신공학과|대학영어|전문교양|필수|0
전자정보통신공학과|서양철학:쟁점과토론|전문교양|필수|0
전자정보통신공학과|공업수학1|MSC|필수|0
전자정보통신공학과|일반물리학2|MSC|필수|0
전자정보통신공학과|일반화학1|MSC|필수|0
전자정보통신공학과|프로그래밍|전공|선택|0
전자정보통신공학과|인공지능과빅데이터|MSC|필수|0
전자정보통신공학과|공업수학2|MSC|필수|0
전자정보통신공학과|확률및랜덤변수|MSC|필수|0
전자정보통신공학과|전기회로|전공|선택|0
전자정보통신공학과|MATLAB프로그래밍|전공|선택|0
전자정보통신공학과|디지털논리회로|전공|선택|0
전자정보통신공학과|세계사:인간과문명|전문교양|선택|0
전자정보통신공학과|동서양의윤리|전문교양|선택|0
전자정보통신공학과|경제학|전문교양|선택|0
전자정보통신공학과|경영학|전문교양|선택|0
전자정보통신공학과|현대사회와다문화|전문교양|선택|0
전자정보통신공학과|신호및시스템|전공|선택|0
전자정보통신공학과|물리전자공학|전공|선택|0
전자정보통신공학과|JAVA프로그래밍|전공|선택|0
전자정보통신공학과|컴퓨터구조론|전공|선택|0
전자정보통신공학과|전기회로실험|전공|선택|0
전자정보통신공학과|기초설계|설계|기초설계|3
전자정보통신공학과|전자회로1|전공|선택|0
전자정보통신공학과|통신이론|전공|선택|0
전자정보통신공학과|전자기1|전공|선택|0
전자정보통신공학과|기초반도체|전공|선택|0
전자정보통신공학과|디지털신호처리|전공|선택|0
전자정보통신공학과|하드웨어프로그래밍|전공|선택|0
전자정보통신공학과|데이터구조론|전공|선택|0
전자정보통신공학과|랜덤프로세스|전공|선택|0
전자정보통신공학과|자동제어|전공|선택|0
전자정보통신공학과|데이터통신|전공|선택|0
전자정보통신공학과|기초광학및실험|전공|선택|0
전자정보통신공학과|광전자공학|전공|선택|0
전자정보통신공학과|컴퓨터네트워크|전공|선택|0
전자정보통신공학과|디지털통신시스템|전공|선택|0
전자정보통신공학과|음성처리|전공|선택|0
전자정보통신공학과|영상처리|전공|선택|0
전자정보통신공학과|데이터분석과도표작성|전공|선택|0
전자정보통신공학과|전자회로2|전공|선택|0
전자정보통신공학과|디스플레이공학|전공|선택|0
전자정보통신공학과|전자기2|전공|선택|0
전자정보통신공학과|반도체공학|전공|선택|0
전자정보통신공학과|네트워크프로그래밍|전공|선택|0
전자정보통신공학과|임베디드시스템|전공|선택|0
전자정보통신공학과|정보이론|전공|선택|0
전자정보통신공학과|반도체소자설계|설계|요소설계|2
전자정보통신공학과|데이터통신설계|설계|요소설계|2
전자정보통신공학과|정보시스템설계|설계|요소설계|2
전자정보통신공학과|졸업연구및진로1|전공|선택|0
전자정보통신공학과|전자정보통신공학특강A|전공|선택|0
전자정보통신공학과|집적회로|전공|선택|0
전자정보통신공학과|플라즈마공학|전공|선택|0
전자정보통신공학과|초고주파공학|전공|선택|0
전자정보통신공학과|무선네트워크|전공|선택|0
전자정보통신공학과|무선통신공학|전공|선택|0
전자정보통신공학과|시스템반도체|전공|선택|0
전자정보통신공학과|광통신공학|전공|선택|0
전자정보통신공학과|멀티미디어통신|전공|선택|0
전자정보통신공학과|인공지능|전공|선택|0
전자정보통신공학과|음향공학|전공|선택|0
전자정보통신공학과|태양전지공학|전공|선택|0
전자정보통신공학과|반도체공정실험|전공|선택|0
전자정보통신공학과|마이크로컴퓨터실험|전공|선택|0
전자정보통신공학과|인턴쉽A|전공|선택|0
전자정보통신공학과|전자회로설계|설계|요소설계|2
전자정보통신공학과|통신시스템설계|설계|요소설계|2
전자정보통신공학과|멀티미디어설계|설계|요소설계|2
전자정보통신공학과|캡스톤디자인A|설계|종합설계|3
전자정보통신공학과|졸업연구및진로2|전공|선택|0
전자정보통신공학과|전자정보통신공학특강B|전공|선택|0
전자정보통신공학과|반도체에너지공학|전공|선택|0
전자정보통신공학과|응용광학|전공|선택|0
전자정보통신공학과|전기전자재료공학|전공|선택|0
전자정보통신공학과|수치해석|전공|선택|0
전자정보통신공학과|안테나공학|전공|선택|0
전자정보통신공학과|광반도체및LED공학|전공|선택|0
전자정보통신공학과|유선통신공학|전공|선택|0
전자정보통신공학과|차세대이동통신|전공|선택|0
전자정보통신공학과|광통신시스템|전공|선택|0
전자정보통신공학과|방송시스템|전공|선택|0
전자정보통신공학과|디지털제어|전공|선택|0
전자정보통신공학과|패턴인식|전공|선택|0
전자정보통신공학과|인턴쉽B|전공|선택|0
전자정보통신공학과|K-MOOC:무선인터넷의이해|전공|선택|0
전자정보통신공학과|캡스톤디자인B|설계|종합설계|3
전자정보통신공학과|비판적사고와창의적글쓰기|전문교양|필수|0
전자정보통신공학과|고급프로그래밍활용|MSC|필수|0
전자정보통신공학과|확률및통계|MSC|필수|0
전자정보통신공학과|C프로그래밍및실습|MSC|필수|0
전자정보통신공학과|고급C프로그래밍및실습|MSC|필수|0
전자정보통신공학과|고급인공지능활용|MSC|필수|0
전자정보통신공학과|기초전자물리|MSC|선택|0
전자정보통신공학과|컴퓨터게임과메타버스|전문교양|선택|0
전자정보통신공학과|현대예술의이해|전문교양|선택|0
전자정보통신공학과|객체지향프로그래밍|전공|선택|0
전자정보통신공학과|컴퓨터구조와신경망|전공|선택|0
전자정보통신공학과|인공지능수학|전공|선택|0
전자정보통신공학과|AI 융합기초설계|설계|기초설계|3
